credits_id	student_id	class_id	grade
147	2013004004	89243	B0
148	2013004004	89272	A0
149	2013004004	89283	A0
150	2013004394	8832	C0
151	2013004394	8835	A0
152	2013004394	8838	A0
153	2013004394	8852	F
154	2013004394	8880	D0
155	2013004394	8895	A0
156	2013004394	8901	C0
157	2013004394	8924	B+
158	2013004394	8927	B0
159	2013004394	8930	C+
160	2013004394	88431	D0
161	2013004394	88442	D0
162	2013004394	88641	D0
163	2013004394	88722	F
164	2013004394	88781	B0
165	2013004394	88833	F
166	2013004394	88951	B0
167	2013004394	89002	A0
168	2013030128	8832	B0
169	2013030128	8835	C+
170	2013030128	8837	A0
171	2013030128	8838	C0
172	2013030128	8863	C0
173	2013030128	8906	B0
174	2013030128	8924	F
175	2013030128	8927	A+
176	2013030128	8930	B+
177	2013030128	88362	B0
178	2013030128	88582	B0
179	2013030128	88662	C0
180	2013030128	88672	C0
181	2013030128	88732	B0
182	2013030128	88882	D0
183	2013030128	89252	D0
184	2013040051	8847	A0
185	2013040051	8882	B0
186	2013040051	8885	F
187	2013040051	8888	A+
188	2013040051	8891	B+
189	2013040051	8894	B0
190	2013040051	8897	C+
191	2013040051	8900	C0
192	2013040051	8903	A0
193	2013040051	88331	B0
194	2013040051	88431	D0
195	2013040051	89001	C0
196	2013040051	89182	F
197	2013040051	89273	F
198	2014001303	8844	A0
199	2014001303	8909	B0
200	2014001303	8912	B+
201	2014001303	8915	C+
202	2014001303	8918	F
203	2014001303	8921	C0
204	2014001303	88313	A0
205	2014001303	88423	C0
206	2014001303	88451	A0
207	2014001303	88461	D0
208	2014001303	88483	D0
209	2014001303	88501	D0
210	2014001303	88621	F
211	2014001303	88672	C0
212	2014001303	88681	A0
213	2014001303	88733	A0
214	2014001303	88901	F
215	2014002331	8866	D0
216	2014002331	8888	A0
217	2014002331	8891	B0
218	2014002331	8894	A0
219	2014002331	8897	A+
220	2014002331	8900	A+
221	2014002331	8903	A+
222	2014002331	88352	C0
223	2014002331	88471	B0
224	2014002331	88662	D0
225	2014002331	88682	F
226	2014002331	88762	A0
227	2014002331	88893	D0
228	2014005004	8832	A0
229	2014005004	8835	F
230	2014005004	8838	A+
231	2014005004	8861	C0
232	2014005004	8874	F
233	2014005004	8881	B0
234	2014005004	8889	C0
235	2014005004	8924	C+
236	2014005004	8927	C0
237	2014005004	8928	B0
238	2014005004	8930	A0
239	2014005004	88423	D0
240	2014005004	88431	A0
241	2014005004	88533	C0
242	2014005004	88642	F
243	2014005004	88783	C0
244	2014005004	88892	D0
245	2014005004	89071	F
246	2014005004	89072	A0
247	2014005004	89181	C+
248	2014005004	89281	B0
249	2014019493	8880	B+
250	2014019493	8909	A0
251	2014019493	8912	F
252	2014019493	8915	A+
253	2014019493	8918	B+
254	2014019493	8921	B0
255	2014019493	88333	F
256	2014019493	88382	F
257	2014019493	88383	C0
258	2014019493	88483	A0
259	2014019493	88762	C0
260	2014019493	89163	C0
261	2014019493	89182	B0
262	2014040404	8847	B+
263	2014040404	8850	B0
264	2014040404	8853	C+
265	2014040404	8856	C+
266	2014040404	8859	A0
267	2014040404	8862	A0
268	2014040404	8875	C0
269	2014040404	8892	D+
270	2014040404	88351	C0
271	2014040404	88852	F
272	2014040404	88903	D0
273	2014040404	89122	C0
274	2014040404	89242	B0
275	2014040404	89243	B0
276	2014505050	8847	F
277	2014505050	8850	A+
278	2014505050	8853	B+
279	2014505050	8856	B0
280	2014505050	8859	C+
281	2014505050	8862	C0
282	2014505050	8876	B0
283	2014505050	8881	C0
284	2014505050	8912	D0
285	2014505050	88332	B0
286	2014505050	88372	F
287	2014505050	88392	C0
288	2014505050	88462	D0
289	2014505050	88512	D0
290	2014505050	88562	A0
291	2014505050	88691	C0
292	2014505050	88752	C0
293	2014505050	88983	B0
294	2014505050	89013	A0
295	2014505050	89071	D0
296	2014505050	89121	C0
297	2014505050	89311	B0
